Data,Feriado
2045-04-07 00:00:00,paixao de cristo
2045-04-21 00:00:00,tiradentes
2045-05-01 00:00:00,dia do trabalho
2045-06-08 00:00:00,corpus christi
2045-09-07 00:00:00,independencia do brasil
2045-10-12 00:00:00,nossa sr.a aparecida - padroeira do brasil
2045-11-02 00:00:00,finados
2045-11-15 00:00:00,proclamacao da republica
2045-12-25 00:00:00,natal
2046-01-01 00:00:00,confraternizacao universal
2046-02-05 00:00:00,carnaval
2046-02-06 00:00:00,carnaval
2046-03-23 00:00:00,paixao de cristo
2046-04-21 00:00:00,tiradentes
2046-05-01 00:00:00,dia do trabalho
2046-05-24 00:00:00,corpus christi
2046-09-07 00:00:00,independencia do brasil
2046-10-12 00:00:00,nossa sr.a aparecida - padroeira do brasil
2046-11-02 00:00:00,finados
2046-11-15 00:00:00,proclamacao da republica
2046-12-25 00:00:00,natal
2047-01-01 00:00:00,confraternizacao universal
2047-02-25 00:00:00,carnaval
2047-02-26 00:00:00,carnaval
2047-04-12 00:00:00,paixao de cristo
2047-04-21 00:00:00,tiradentes
2047-05-01 00:00:00,dia do trabalho
2047-06-13 00:00:00,corpus christi
2047-09-07 00:00:00,independencia do brasil
2047-10-12 00:00:00,nossa sr.a aparecida - padroeira do brasil
2047-11-02 00:00:00,finados
2047-11-15 00:00:00,proclamacao da republica
2047-12-25 00:00:00,natal
2048-01-01 00:00:00,confraternizacao universal
2048-02-17 00:00:00,carnaval
2048-02-18 00:00:00,carnaval
2048-04-03 00:00:00,paixao de cristo
2048-04-21 00:00:00,tiradentes
2048-05-01 00:00:00,dia do trabalho
2048-06-04 00:00:00,corpus christi
2048-09-07 00:00:00,independencia do brasil
2048-10-12 00:00:00,nossa sr.a aparecida - padroeira do brasil
2048-11-02 00:00:00,finados
2048-11-15 00:00:00,proclamacao da republica
2048-12-25 00:00:00,natal
2049-01-01 00:00:00,confraternizacao universal
2049-03-01 00:00:00,carnaval
2049-03-02 00:00:00,carnaval
2049-04-16 00:00:00,paixao de cristo
2049-04-21 00:00:00,tiradentes
2049-05-01 00:00:00,dia do trabalho
2049-06-17 00:00:00,corpus christi
2049-09-07 00:00:00,independencia do brasil
2049-10-12 00:00:00,nossa sr.a aparecida - padroeira do brasil
2049-11-02 00:00:00,finados
2049-11-15 00:00:00,proclamacao da republica
2049-12-25 00:00:00,natal
2050-01-01 00:00:00,confraternizacao universal
2050-02-21 00:00:00,carnaval
2050-02-22 00:00:00,carnaval
2050-04-08 00:00:00,paixao de cristo
2050-04-21 00:00:00,tiradentes
2050-05-01 00:00:00,dia do trabalho
2050-06-09 00:00:00,corpus christi
2050-09-07 00:00:00,independencia do brasil
2050-10-12 00:00:00,nossa sr.a aparecida - padroeira do brasil
2050-11-02 00:00:00,finados
2050-11-15 00:00:00,proclamacao da republica
2050-12-25 00:00:00,natal
2051-01-01 00:00:00,confraternizacao universal
2051-02-13 00:00:00,carnaval
2051-02-14 00:00:00,carnaval
2051-03-31 00:00:00,paixao de cristo
2051-04-21 00:00:00,tiradentes
2051-05-01 00:00:00,dia do trabalho
2051-06-01 00:00:00,corpus christi
2051-09-07 00:00:00,independencia do brasil
2051-10-12 00:00:00,nossa sr.a aparecida - padroeira do brasil
2051-11-02 00:00:00,finados
2051-11-15 00:00:00,proclamacao da republica
2051-12-25 00:00:00,natal
2052-01-01 00:00:00,confraternizacao universal
2052-03-04 00:00:00,carnaval
2052-03-05 00:00:00,carnaval
2052-04-19 00:00:00,paixao de cristo
2052-04-21 00:00:00,tiradentes
2052-05-01 00:00:00,dia do trabalho
2052-06-20 00:00:00,corpus christi
2052-09-07 00:00:00,independencia do brasil
2052-10-12 00:00:00,nossa sr.a aparecida - padroeira do brasil
2052-11-02 00:00:00,finados
2052-11-15 00:00:00,proclamacao da republica
2052-12-25 00:00:00,natal
2053-01-01 00:00:00,confraternizacao universal
2053-02-17 00:00:00,carnaval
2053-02-18 00:00:00,carnaval
2053-04-04 00:00:00,paixao de cristo
2053-04-21 00:00:00,tiradentes
2053-05-01 00:00:00,dia do trabalho
2053-06-05 00:00:00,corpus christi
2053-09-07 00:00:00,independencia do brasil
2053-10-12 00:00:00,nossa sr.a aparecida - padroeira do brasil
2053-11-02 00:00:00,finados
2053-11-15 00:00:00,proclamacao da republica
2053-12-25 00:00:00,natal
2054-01-01 00:00:00,confraternizacao universal
2054-02-09 00:00:00,carnaval
2054-02-10 00:00:00,carnaval
2054-03-27 00:00:00,paixao de cristo
2054-04-21 00:00:00,tiradentes
2054-05-01 00:00:00,dia do trabalho
2054-05-28 00:00:00,corpus christi
2054-09-07 00:00:00,independencia do brasil
2054-10-12 00:00:00,nossa sr.a aparecida - padroeira do brasil
2054-11-02 00:00:00,finados
2054-11-15 00:00:00,proclamacao da republica
2054-12-25 00:00:00,natal
2055-01-01 00:00:00,confraternizacao universal
2055-03-01 00:00:00,carnaval
2055-03-02 00:00:00,carnaval
2055-04-16 00:00:00,paixao de cristo
2055-04-21 00:00:00,tiradentes
2055-05-01 00:00:00,dia do trabalho
2055-06-17 00:00:00,corpus christi
2055-09-07 00:00:00,independencia do brasil
2055-10-12 00:00:00,nossa sr.a aparecida - padroeira do brasil
2055-11-02 00:00:00,finados
2055-11-15 00:00:00,proclamacao da republica
2055-12-25 00:00:00,natal
2056-01-01 00:00:00,confraternizacao universal
2056-02-14 00:00:00,carnaval
2056-02-15 00:00:00,carnaval
2056-03-31 00:00:00,paixao de cristo
2056-04-21 00:00:00,tiradentes
2056-05-01 00:00:00,dia do trabalho
2056-06-01 00:00:00,corpus christi
2056-09-07 00:00:00,independencia do brasil
2056-10-12 00:00:00,nossa sr.a aparecida - padroeira do brasil
2056-11-02 00:00:00,finados
2056-11-15 00:00:00,proclamacao da republica
2056-12-25 00:00:00,natal
2057-01-01 00:00:00,confraternizacao universal
2057-03-05 00:00:00,carnaval
2057-03-06 00:00:00,carnaval
2057-04-20 00:00:00,paixao de cristo
2057-04-21 00:00:00,tiradentes
2057-05-01 00:00:00,dia do trabalho
